name,parent_region__name,gibdd_code,ya_name,slug
Целинский район,Ростовская область,60256,Целинский район,tselinskii-raion
Облученский район,Еврейская автономная область,99220,Облученский район,obluchenskii-raion
Чулымский район,Новосибирская область,50259,,chulymskii-raion
Благовещенский район,Амурская область,10211,Благовещенский район,blagoveshchenskii-raion
Находкинский,Приморский край,5414,Находкинский городской округ,nakhodkinskii
Булунский район,Республика Саха (Якутия),98212,муниципальный район Булунский улус,bulunskii-raion
Иультинский район,Чукотский автономный округ,77215,городской округ Эгвекинот,iultinskii-raion
Провиденский район,Чукотский автономный округ,77220,Провиденский городской округ,providenskii-raion
Партизанск,Приморский край,5417,Партизанск,partizansk
Наурский район,Чеченская Республика,96008,Наурский район,naurskii-raion
Оленёкский  район,Республика Саха (Якутия),98242,Оленёкский эвенкийский национальный район,oleniokskii-raion
Тегульдетский,Томская область,69252,Тегульдетский район,teguldetskii
Среднекамский район,Магаданская область,44210,Среднеканский городской округ,srednekamskii-raion
Ленинский район,Еврейская автономная область,99210,Ленинский район,leninskii-raion
Чебоксары,Чувашская Республика - Чувашия,97401,,cheboksary
Свободненский район,Амурская область,10242,Свободненский район,svobodnenskii-raion
Соболевский район,Камчатский край,30213,Соболевский район,sobolevskii-raion
Серышевский район,Амурская область,10247,Серышевский район,seryshevskii-raion
Черекский район,Кабардино-Балкарская Республика,83215,Черекский район,cherekskii-raion
Билибинский район,Чукотский автономный округ,77209,Билибинский район,bilibinskii-raion
Сусуманский район,Магаданская область,44213,Сусуманский городской округ,susumanskii-raion
Солнечный район,Хабаровский край,8244,Солнечный район,solnechnyi-raion
Пенжинский район,Камчатский край,30129,Пенжинский район,penzhinskii-raion
Олюторский район,Камчатский край,30127,Олюторский район,oliutorskii-raion
Белогорский район,Амурская область,10205,Белогорский район,belogorskii-raion
Эльбрусский район,Кабардино-Балкарская Республика,83210,Эльбрусский район,elbrusskii-raion
Хивский район,Республика Дагестан,82255,Хивский район,khivskii-raion
Рутульский район,Республика Дагестан,82242,Рутульский район,rutulskii-raion
Карачаевск,Карачаево-Черкесская Республика,61405,Карачаевск,karachaevsk
Салаватский,Республика Башкортостан,80247,Салаватский район,salavatskii
Шегарский,Томская область,69258,Шегарский район,shegarskii
Прохладный,Кабардино-Балкарская Республика,83410,Прохладный,prokhladnyi
Лакский район,Республика Дагестан,82232,Лакский район,lakskii-raion
Нуримановский,Республика Башкортостан,80245,Нуримановский район,nurimanovskii
Ипатовский район,Ставропольский край,7222,Ипатовский городской округ,ipatovskii-raion
Шалинский район,Чеченская Республика,96012,Шалинский муниципальный район,shalinskii-raion
Дрожжановский район,Республика Татарстан (Татарстан),92224,Дрожжановский район,drozhzhanovskii-raion
Миякинский,Республика Башкортостан,80244,Миякинский район,miiakinskii
Бугульминский район,Республика Татарстан (Татарстан),92217,Бугульминский район,bugulminskii-raion
Гудермесский район,Чеченская Республика,96004,Гудермесский район,gudermesskii-raion
Высокогорский район,Республика Татарстан (Татарстан),92222,Высокогорский район,vysokogorskii-raion
Дубенский район,Республика Мордовия,89216,Дубёнский район,dubenskii-raion
Йошкар-Ола,Республика Марий Эл,88401,Йошкар-Ола,ioshkar-ola
Зубово-Полянский район,Республика Мордовия,89221,Зубово-Полянский район,zubovo-polianskii-raion
Вавожский район,Удмуртская Республика,94206,Вавожский район,vavozhskii-raion
Ельниковский район,Республика Мордовия,89218,Ельниковский район,elnikovskii-raion
Балезинский район,Удмуртская Республика,94204,Балезинский район,balezinskii-raion
Сарапульский район,Удмуртская Республика,94237,Сарапульский район,sarapulskii-raion
Глазовский район,Удмуртская Республика,94210,Глазовский район,glazovskii-raion
Кемеровская область - Кузбасс,,32,,kemerovskaia-oblast-kuzbass
Таштагольский район,Кемеровская область - Кузбасс,32227,,tashtagolskii-raion
Иркутская область,,25,,irkutskaia-oblast
Нижнеудинский район,Иркутская область,25228,,nizhneudinskii-raion
Красноярский край,,4,,krasnoiarskii-krai
Минусинский район,Красноярский край,4233,,minusinskii-raion
Сарапул,Удмуртская Республика,94440,Сарапул,sarapul
Тарский район,Омская область,52254,Тарский район,tarskii-raion
Чистоозерный район,Новосибирская область,50258,,chistoozernyi-raion
Первомайский,Томская область,69248,Первомайский район,pervomaiskii
Большеуковский район,Омская область,52206,Большеуковский район,bolsheukovskii-raion
Анадырский район,Чукотский автономный округ,77203,Анадырский район,anadyrskii-raion
Биробиджан,Еврейская автономная область,99401,Биробиджан,birobidzhan
Чановский район,Новосибирская область,50256,,chanovskii-raion
Углегорский район,Сахалинская область,64252,Углегорский городской округ,uglegorskii-raion
Мирнинский район,Республика Саха (Якутия),98231,Мирнинский муниципальный район,mirninskii-raion
Молчановский,Томская область,69240,Молчановский район,molchanovskii
им. Полины Осипенко район,Хабаровский край,8237,район им. Полины Осипенко,im-poliny-osipenko-raion
Тацинский район,Ростовская область,60254,Тацинский район,tatsinskii-raion
Анадырь,Чукотский автономный округ,77401,Анадырь,anadyr
Невельский район,Сахалинская область,64228,Невельский городской округ,nevelskii-raion
Хоринский район,Республика Бурятия,81257,Хоринский район,khorinskii-raion
Усть-Тарский район,Новосибирская область,50255,,ust-tarskii-raion
Северо-Эвенский район,Магаданская область,44207,Северо-Эвенский городской округ,severo-evenskii-raion
Мильковский район,Камчатский край,30210,Мильковский район,milkovskii-raion
Тындинский район,Амурская область,10254,Тындинский район,tyndinskii-raion
Знаменский район,Омская область,52212,Знаменский район,znamenskii-raion
Тарасовский район,Ростовская область,60253,Тарасовский район,tarasovskii-raion
Омсуканский район,Магаданская область,44204,Омсукчанский городской округ,omsukanskii-raion
Быстринский район,Камчатский край,30204,Быстринский район,bystrinskii-raion
Советский район,Ростовская область,60252,Советский район,sovetskii-raion-gzh
Хасынский район,Магаданская область,44219,Хасынский городской округ,khasynskii-raion
Зейский район,Амурская область,10225,Зейский район,zeiskii-raion
Охотский район,Хабаровский край,8234,Охотский район,okhotskii-raion
Магадан,Магаданская область,44401,Магадан,magadan
Тамбовский район,Амурская область,10251,Тамбовский район,tambovskii-raion
Николаевский  район,Хабаровский край,8231,Николаевский район,nikolaevskii-raion
Гунибский район,Республика Дагестан,82216,Гунибский район,gunibskii-raion
Грозный,Чеченская Республика,96401,Грозный,groznyi
Мечетлинский,Республика Башкортостан,80242,Мечетлинский район,mechetlinskii
Прокопьевский район,Кемеровская область - Кузбасс,32222,,prokopevskii-raion
Аргун,Чеченская Республика,96402,Аргун,argun
Беловский район,Кемеровская область - Кузбасс,32201,,belovskii-raion
Мелеузовский,Республика Башкортостан,80241,Мелеузовский район,meleuzovskii
Лесозаводской,Приморский край,5411,,lesozavodskoi
Тляратинский район,Республика Дагестан,82251,Тляратинский район,tliaratinskii-raion
Балтасинский район,Республика Татарстан (Татарстан),92215,Балтасинский район,baltasinskii-raion
Забайкальский край,,76,,zabaikalskii-krai
Куюргазинский,Республика Башкортостан,80239,Куюргазинский район,kuiurgazinskii
Шилкинский район,Забайкальский край,76255,,shilkinskii-raion
Бавлинский район,Республика Татарстан (Татарстан),92214,Бавлинский район,bavlinskii-raion
Алтайский край,,1,,altaiskii-krai
